2MASS,KIC,Gaia_DR1,RA,Dec,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Kmag,kepmag,pmRA,pmDec,phot_g_mean_mag
2MASS J19201973+3746549,2435987,2051291223977890000,290.08221,37.78194,,15.698,14.517,14.084,13.764,12.512,11.862,11.704,14.568,0,0,14.395
2MASS J19202354+3751229,2568916,2051291670654710000,290.09811,37.856361,,15.156,14.069,13.677,13.405,12.223,11.63,11.497,14.121,-1.1,0.2,13.957
2MASS J19203005+3750191,2569055,2051297271292000000,290.12521,37.838661,19.243,15.292,14.141,13.746,13.47,12.269,11.651,11.483,14.21,2.8,4.2,14.054
2MASS J19203485+3746298,2436417,2051288062881990000,290.14523,37.774971,,15.246,14.078,13.681,13.405,12.233,11.569,11.397,14.151,-1.1,-3.8,13.977
2MASS J19203934+3748048,2569360,2051294041476490000,290.16394,37.801338,,15.391,14.104,13.62,13.299,12.035,11.323,11.164,14.151,0,0,13.956
2MASS J19204557+3739509,2297384,2051098706367840000,290.18988,37.664139,,15.365,14.193,13.801,13.518,12.317,11.695,11.537,14.27,1.8,4,14.076
2MASS J19204635+3750228,2569624,2051294213273820000,290.19315,37.839687,,,,,,10.476,9.705,9.468,,0,0,12.804
2MASS J19204971+3743426,2437171,2051286997742870000,290.20715,37.728519,18.446,14.855,13.319,11.631,10.726,9.041,8.166,7.815,12.598,-5.4,1.5,12.17
2MASS J19205287+3745331,2437353,2051292907603980000,290.22034,37.759209,19.396,15.23,14.116,13.732,13.488,12.279,11.669,11.512,14.181,0,0,14.017
2MASS J19205338+3748282,2569935,2051293319920660000,290.22244,37.807831,19.032,14.545,13.147,12.502,12.101,10.731,9.961,9.769,13.115,-11.7,-0.5,12.91
2MASS J19205368+3750236,2569945,2051294522512940000,290.22369,37.839909,19.415,15.274,14.146,13.762,13.498,12.298,11.695,11.548,14.215,16.4,20.6,14.048
2MASS J19205510+3747162,2437496,2051293113762230000,290.22958,37.787849,19.043,14.693,13.234,12.458,12.008,10.589,9.843,9.587,13.129,-4.9,-34.3,12.905
2MASS J19205530+3743152,2437507,2051105131638980000,290.23044,37.720901,,15.326,14.045,13.556,13.232,11.945,11.269,11.087,14.087,7.9,0.3,13.892
2MASS J19205629+3744334,2437564,2051105234718210000,290.23459,37.742619,,15.375,14.208,13.815,13.541,12.311,11.727,11.555,14.283,-3.4,-1,14.098
2MASS J19210052+3750188,2570214,2051293835318180000,290.2522,37.838558,19.506,15.195,14.078,13.689,13.427,12.242,11.644,11.493,14.141,-0.7,-0.2,13.994
2MASS J19210086+3745339,2437804,2051105337795110000,290.25357,37.759418,19.563,15.273,14.088,13.68,13.402,12.159,11.554,11.382,14.158,0,0,13.98
2MASS J19210112+3742134,2437816,2051104856761050000,290.25467,37.703732,,15.249,13.95,13.436,13.113,11.82,11.13,10.938,13.98,25.6,6.1,13.806
2MASS J19210426+3747187,2437965,2051105750114320000,290.26779,37.78854,19.081,14.683,13.308,12.732,12.377,11.013,10.31,10.102,13.317,1.6,4.2,13.104
2MASS J19210483+3741036,2297825,2051104100846780000,290.27014,37.684349,,15.374,14.216,13.813,13.549,12.314,11.704,11.561,14.281,-4.7,10.9,14.109
2MASS J19210629+3744596,2438051,2051105097279270000,290.27625,37.749908,19.157,15.2,14.091,13.704,13.454,12.259,11.646,11.499,14.153,-6,-6,13.958
2MASS J19211007+3750008,2570518,2051293594799990000,290.29196,37.83358,20.001,15.809,14.668,14.25,13.97,12.778,12.112,11.967,14.718,5.1,-2.5,14.553
2MASS J19211606+3746462,2438421,2051105612684110000,290.31693,37.779518,18.045,14.586,13.067,11.443,10.569,8.913,8.053,7.714,12.385,4.1,2.6,12.026
2MASS J19213390+3750202,2571093,2051107605549180000,290.39127,37.838951,,14.487,13.074,11.97,11.35,9.891,9.053,8.798,12.725,0.7,5,12.499